pca_components,alpha,umap_n_components,umap_n_neighbors,min_cluster_size,min_samples,cluster_selection_method,n_clusters,n_outliers,outlier_pct,silhouette_global,min_cluster_silhouette,n_bad_clusters,n_weak_clusters,largest_cluster_pct,davies_bouldin,score,meets_all
50,0.5,25,10,50,20,eom,14,974,27.631205673758863,0.4354151785373688,0.20755057,0,0,14.865248226950353,0.6701630205159178,-1152.6241134751772,False
70,0.7,25,15,60,20,eom,13,975,27.659574468085108,0.4067517817020416,0.20951925,0,0,21.95744680851064,0.8075185763572232,-1153.1914893617022,False
70,0.6,20,10,60,50,eom,5,971,27.54609929078014,0.44288820028305054,0.34792644,0,0,40.34042553191489,0.5997028598480741,-1154.3262411347516,False
60,0.6,20,10,60,30,eom,8,978,27.74468085106383,0.2891870439052582,0.03087035,0,1,30.69503546099291,0.8403387268066378,-1154.8936170212767,False
60,0.7,25,15,50,20,eom,15,978,27.74468085106383,0.40709733963012695,0.16830142,0,1,14.695035460992909,0.7401822807798085,-1154.8936170212767,False
50,0.6,20,10,60,50,eom,5,979,27.773049645390067,0.44513294100761414,0.36802647,0,0,35.97163120567376,0.6241180998150672,-1155.4609929078013,False
50,0.7,30,10,50,40,eom,11,980,27.801418439716315,0.4298010766506195,0.3024151,0,0,21.24822695035461,0.7058108357365384,-1156.0283687943263,False
50,0.4,25,15,50,20,eom,14,985,27.94326241134752,0.339813232421875,0.07913749,0,2,18.97872340425532,0.7872337865997956,-1158.8652482269504,False
50,0.3,25,10,50,40,eom,8,988,28.02836879432624,0.29514268040657043,0.102875635,0,2,23.177304964539008,0.8247249868755735,-1160.5673758865248,False
70,0.3,20,15,50,20,eom,14,989,28.05673758865248,0.3393798768520355,0.13839774,0,3,19.94326241134752,0.7752410757179399,-1161.1347517730496,False
60,0.5,30,10,50,20,eom,14,991,28.113475177304963,0.3989550769329071,0.20991951,0,0,13.872340425531915,0.7406648286987727,-1162.2695035460993,False
